[Mon Jun 06 18:04:16.821647 2016] [proxy:error] [pid 28733:tid 140389176497920] [client 31.52.219.226:50340] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/logos/anglian.png, referer: http://garethferguson.co.uk/css/main.min.css
[Mon Jun 06 18:04:16.826154 2016] [proxy:error] [pid 28733:tid 140389277210368] [client 31.52.219.226:50339] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/logos/j2o.png, referer: http://garethferguson.co.uk/css/main.min.css
[Mon Jun 06 18:04:16.854193 2016] [proxy:error] [pid 28733:tid 140389226854144] [client 31.52.219.226:50338] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/circle.png, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.866881 2016] [proxy:error] [pid 28733:tid 140389218461440] [client 31.52.219.226:50336] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/blank.gif, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.871207 2016] [proxy:error] [pid 28733:tid 140389310781184] [client 31.52.219.226:50339] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/ahicover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.873631 2016] [proxy:error] [pid 28733:tid 140389302388480] [client 31.52.219.226:50340] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/othercover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.913899 2016] [proxy:error] [pid 28733:tid 140389293995776] [client 31.52.219.226:50338] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/happcover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.938468 2016] [proxy:error] [pid 28733:tid 140389210068736] [client 31.52.219.226:50339] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/barspotcover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.944264 2016] [proxy:error] [pid 28733:tid 140389260424960] [client 31.52.219.226:50340] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/hpcover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.944695 2016] [proxy:error] [pid 28733:tid 140389184890624] [client 31.52.219.226:50336] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/bacover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.961074 2016] [proxy:error] [pid 28733:tid 140389319173888] [client 31.52.219.226:50338] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/j2ocover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:16.978464 2016] [proxy:error] [pid 28733:tid 140389285603072] [client 31.52.219.226:50339] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/home/elevoncover.jpg, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:17.059875 2016] [proxy:error] [pid 28733:tid 140389327566592] [client 31.52.219.226:50337] AH00898: DNS lookup failure for: garethferguson.co.uk:3000lastfm returned by /lastFm, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:17.805293 2016] [proxy:error] [pid 28733:tid 140389406816000] [client 31.52.219.226:50335] AH00898: DNS lookup failure for: garethferguson.co.uk:3000socket.io returned by /socket.io/, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:21.605884 2016] [proxy:error] [pid 28733:tid 140389268817664] [client 31.52.219.226:50335] AH00898: DNS lookup failure for: garethferguson.co.uk:3000socket.io returned by /socket.io/, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:26.732410 2016] [proxy:error] [pid 28733:tid 140389243639552] [client 31.52.219.226:50335] AH00898: DNS lookup failure for: garethferguson.co.uk:3000socket.io returned by /socket.io/, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:04:29.803956 2016] [proxy:error] [pid 28733:tid 140389201676032] AH00940: HTTP: disabled connection for (garethferguson.co.uk)
[Mon Jun 06 18:04:30.262529 2016] [proxy:error] [pid 28734:tid 140389184890624] [client 31.52.219.226:50341] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon.ico returned by /favicon.ico, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:20.587858 2016] [proxy:error] [pid 28734:tid 140389176497920] [client 31.52.219.226:50346] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:20.639874 2016] [proxy:error] [pid 28734:tid 140389440386816] [client 31.52.219.226:50346] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.woff, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:20.684829 2016] [proxy:error] [pid 28734:tid 140389448779520] [client 31.52.219.226:50347] AH00898: DNS lookup failure for: garethferguson.co.uk:3000js returned by /js/build/production.min.js, referer: http://garethferguson.co.uk/
